rxns	TCGA-44-6148-11	TCGA-50-5939-11	TCGA-49-6761-11	TCGA-55-6971-11	TCGA-91-6835-11	TCGA-38-4632-11	TCGA-49-6745-11	TCGA-44-2668-11	TCGA-91-6831-11	TCGA-55-6982-11
BPNT	1	1	1	1	1	1	1	1	1	1
BPNT2	1	1	1	1	1	1	1	1	1	1
BTND1	1	1	1	1	1	1	1	1	1	1
BTND1n	1	1	1	1	1	1	1	1	1	1
BTNDe	1	1	1	1	1	1	1	1	1	1
BTNDm	1	1	1	1	1	1	1	1	1	1
BTNPL	1	1	1	1	1	1	1	1	1	1
BTNPLm	1	1	1	1	1	1	1	1	1	1
BTNt2	1	1	1	1	1	1	1	1	1	1
BTNt3i	1	1	1	1	1	1	1	1	1	1
BTNt4i	1	1	1	1	1	0	1	1	1	1
BTNtn	1	1	1	1	1	1	1	1	1	1
BUP2	1	1	1	1	1	1	1	1	1	1
BUTt2m	1	1	1	1	1	1	1	1	1	1
BUTt2r	1	1	1	1	1	1	1	1	1	1
BVITEt	0	0	0	0	0	0	0	0	0	0
C14STRr	1	1	1	1	1	1	1	1	1	1
C160CPT1	1	1	1	1	1	1	1	1	1	1
C160CPT2	1	1	1	1	1	1	1	1	1	1
C160CRNt	1	1	1	1	1	1	1	1	1	1
C161CPT1	1	1	1	1	1	1	1	1	1	1
C161CPT12	1	1	1	1	1	1	1	1	1	1
C161CPT2	1	1	1	1	1	1	1	1	1	1
C161CPT22	1	1	1	1	1	1	1	1	1	1
C161CRN2t	1	1	1	1	1	1	1	1	1	1
C161CRNt	1	1	1	1	1	1	1	1	1	1
C180CPT1	1	1	1	1	1	1	1	1	1	1
C180CPT2	1	1	1	1	1	1	1	1	1	1
C180CRNt	1	1	1	1	1	1	1	1	1	1
C181CPT1	1	1	1	1	1	1	1	1	1	1
C181CPT2	1	1	1	1	1	1	1	1	1	1
C181CRNt	1	1	1	1	1	1	1	1	1	1
C204CPT1	1	1	1	1	1	1	1	1	1	1
C204CPT2	1	1	1	1	1	1	1	1	1	1
C204CRNt	1	1	1	1	1	1	1	1	1	1
C226COAtx	1	1	1	1	1	1	1	1	1	1
C226CPT1	1	1	1	1	1	1	1	1	1	1
C226CPT2	1	1	1	1	1	1	1	1	1	1
C226CRNt	1	1	1	1	1	1	1	1	1	1
C3STDH1Pr	1	1	1	1	1	1	1	1	1	1
C3STDH1r	1	1	1	1	1	1	1	1	1	1
C3STKR2r	1	1	1	1	1	1	1	1	1	1
C4STMO1r	1	1	1	1	1	1	1	1	1	1
C4STMO2Pr	1	1	1	1	1	1	1	1	1	1
C4STMO2r	1	1	1	1	1	1	1	1	1	1
CAATPS	1	1	1	1	1	1	1	1	1	1
CAMPt	1	1	1	1	1	1	1	1	1	1
CAROtr	0	0	0	0	0	0	0	0	0	0
CARVEOLte	0	0	0	0	0	0	0	0	0	0
CAT2p	1	1	1	1	1	1	1	1	1	1
CAt7r	1	1	1	1	1	1	1	1	1	1
CATm	1	1	1	1	1	1	1	1	1	1
CATp	1	1	1	1	1	1	1	1	1	1
CBPS	1	1	1	1	1	1	1	1	1	1
CBPSam	0	0	0	0	0	0	0	0	0	0
CBR2	1	1	1	1	1	1	1	1	1	1
CDIPTr	1	1	1	1	1	1	1	1	1	1
CDPDAGtm	1	1	1	1	1	1	1	1	1	1
CDS	1	1	1	1	1	1	1	1	1	1
CDSm	1	1	1	1	1	1	1	1	1	1
CEPTC	1	1	1	1	1	1	1	1	1	1
CEPTE	1	1	1	1	1	1	1	1	1	1
CERK	1	1	1	1	1	1	1	1	1	1
CERT1gt	1	1	1	1	1	1	1	1	1	1
CERT1rt	1	1	1	1	1	1	1	1	1	1
CERT2gt	1	1	1	1	1	1	1	1	1	1
CERT2rt	1	1	1	1	1	1	1	1	1	1
CGLYt3_2_	1	1	1	1	1	1	1	1	1	1
CGMPt	1	1	1	1	1	1	1	1	1	1
CH25H	1	1	1	1	1	1	1	1	1	1
CHAT	0	0	0	0	0	0	0	0	0	0
CHATn	0	0	0	0	0	0	0	0	0	0
CHLP	1	0	0	0	0	0	0	1	0	0
CHLPCTD	1	1	1	1	1	1	1	1	1	1
CHLtm	0	0	0	0	0	0	0	0	1	0
CHOLATEt	1	1	1	1	1	1	1	1	1	1
CHOLATEt2	0	0	0	0	0	0	0	0	0	0
CHOLATEt3	1	1	1	1	1	1	1	1	1	1
CHOLD2m	1	1	1	1	1	1	1	1	0	1
CHOLK	1	1	1	1	1	1	1	1	1	1
CHOLPtg	1	1	1	1	1	1	1	0	1	1
CHOLPtl	1	1	1	1	1	1	1	0	1	1
CHOLt4	0	0	0	0	0	0	0	0	0	0
CHOLtg	1	1	1	1	1	1	1	1	1	1
CHOLtn	0	0	0	0	0	0	0	0	0	0
CHOLtr	1	1	1	1	1	1	1	1	1	1
CHOLtu	1	1	1	1	1	1	1	1	1	1
CHSTEROLSULT	1	1	1	1	1	1	1	1	1	1
CHSTEROLt	1	1	1	1	1	1	1	1	1	1
CHSTEROLt1	1	1	1	1	1	1	1	1	1	1
CHSTEROLt2	0	0	0	0	0	0	0	0	0	0
CHSTEROLt3	1	1	1	1	1	1	1	1	1	1
CHTNASEe	1	0	1	1	1	0	1	1	1	1
CITL	0	0	1	0	1	1	1	0	0	0
CITRtm	1	1	1	1	1	1	1	1	1	1
CITt4_2	0	1	0	0	0	0	0	0	0	0
CITtam	1	1	1	1	1	1	1	1	1	1
CITtbm	1	1	1	1	1	1	1	1	1	1
CK	1	1	1	1	1	1	1	1	1	1
CKc	1	1	1	1	1	1	1	1	1	1
CLFORtex	0	0	0	0	0	0	0	0	0	0
CLHCO3tex2	1	1	1	1	1	1	1	1	1	1
CLI2tex	0	0	1	1	0	1	0	1	1	0
CLOHtex2	1	1	1	1	1	1	1	1	1	1
CLOXAtex2	1	1	1	1	1	1	1	1	1	1
CLPNDCOAtx	1	1	1	1	1	1	1	1	1	1
CLPNDt	1	1	1	1	1	1	1	1	1	1
CLS_hs	1	1	1	1	1	1	1	1	1	1
CMPACNAtg	1	1	1	1	1	1	1	1	1	1
CMPACNAtn	1	1	1	1	1	1	1	1	1	1
CMPSAS	1	1	1	1	1	1	1	1	1	1
CMPSASn	1	1	1	1	1	1	1	1	1	1
CO2t	0	0	0	0	0	0	0	0	0	0
CO2ter	1	1	1	1	1	1	1	1	1	1
CO2tm	0	0	0	0	0	0	0	1	0	1
CO2tp	1	1	1	1	1	1	1	1	1	1
COAtg	1	1	1	1	1	1	1	1	1	1
COAtl	1	1	1	1	1	1	1	1	1	1
COAtm	1	1	1	1	1	1	1	1	1	1
COAtn	0	0	0	0	0	0	0	0	0	0
COAtp	1	1	1	1	1	1	1	1	1	1
COAtr	0	0	0	0	0	0	0	0	0	0
COQ3m	1	1	1	1	1	1	1	1	1	1
COQ5m	1	1	1	1	1	1	1	1	1	1
COQ6m	1	1	1	1	1	1	1	1	1	1
COQ7m	1	1	1	1	1	1	1	1	1	1
CORE2GTg	1	1	1	1	1	1	1	1	1	1
CORE3GTg	1	1	1	1	1	1	1	1	1	1
CORE4GTg	1	1	1	1	1	1	1	1	1	1
CORE5GTg	0	0	0	0	0	0	0	0	0	0
CORE6GTg	1	1	1	1	1	1	1	1	1	1
CORE7GTg	0	0	0	0	0	0	0	0	0	0
CORE8GTg	0	0	0	0	0	0	0	0	0	0
COt	1	1	1	1	1	1	1	1	1	1
COUCOAFm	1	1	1	1	1	1	1	1	1	1
COUMARINte	1	0	0	0	0	0	0	0	0	0
CPPPGO	1	1	1	1	1	1	1	1	1	1
CREATt4_2_r	1	1	1	1	1	1	1	1	1	1
CREATtmdiffir	1	1	1	1	1	1	1	1	1	1
CRMPte	1	1	1	1	1	1	1	1	1	1
CRNCAR3tp	1	1	1	1	1	1	1	1	1	1
CRNCARtp	1	1	1	1	1	1	0	0	1	0
CRNt	1	1	1	1	1	1	1	1	1	1
CRNtHa	1	0	0	0	1	0	1	1	0	1
CRNtim	1	1	1	1	1	1	1	1	1	1
CRNtuNa	1	1	1	1	1	1	1	1	1	1
CRNtx	0	1	1	0	1	0	0	0	0	0
CRTSLt	0	0	0	0	1	0	0	0	0	0
CRTSLtm	0	0	0	0	1	0	0	0	0	0
CRTSTRNt	0	0	0	0	1	0	0	0	0	0
CRTSTRNtm	0	0	0	0	1	0	0	0	0	0
CRVNCtr	0	1	0	1	0	0	0	0	1	0
CSAPASEly	1	1	1	1	1	1	1	1	1	1
CSBPASEly	1	1	1	1	1	1	1	1	1	1
CSCPASEly	1	1	1	1	1	1	1	1	1	1
CSDPASEly	1	1	1	1	1	1	1	1	1	1
CSEPASEly	1	1	1	1	1	1	1	1	1	1
CSm	1	1	1	1	1	1	1	1	1	1
CSNAT2m	1	1	1	1	1	1	1	1	1	1
CSNAT2x	1	1	1	1	1	1	1	1	1	1
CSNAT3x	1	1	1	1	1	1	1	1	1	1
CSNATer	1	1	1	1	1	1	1	1	1	1
CSNATm	1	1	1	1	1	1	1	1	1	1
CSNATp	1	1	1	1	1	1	1	1	1	1
CSNATr	1	0	1	1	1	0	1	1	1	1
CSND	1	1	1	1	1	1	1	1	1	1
CSNt	1	1	1	1	1	1	1	1	1	1
CSPG_Atly	1	1	1	1	1	1	1	1	1	1
CSPG_Btly	1	1	1	1	1	1	1	1	1	1
CSPG_Ctly	1	1	1	1	1	1	1	1	1	1
CSPG_Dtly	1	1	1	1	1	1	1	1	1	1
CSPG_Etly	1	1	1	1	1	1	1	1	1	1
CTPS1	1	1	1	1	1	1	1	1	1	1
CTPS2	1	1	1	1	1	1	1	1	1	1
CTPtn	1	1	1	1	1	1	1	1	1	1
CYANt	1	1	1	1	1	1	1	1	1	1
CYANtm	1	1	1	1	1	1	1	1	1	1
CYOR_u10m	1	1	1	1	1	1	1	1	1	1
CYSALANaEx	1	1	1	1	1	1	1	1	1	1
CYSASNNaEx	1	1	1	1	1	1	1	1	1	1
CYSGLNNaEx	1	1	1	1	1	1	1	1	1	1
CYSGLTH	1	0	0	0	1	0	1	1	0	1
CYSGLUexR	0	0	0	0	0	0	0	0	0	0
CYSGLYexR	1	1	1	1	1	1	1	1	1	1
CYSO	1	1	1	1	1	1	1	1	1	1
CYSSERNaEx	1	1	1	1	1	1	1	1	1	1
CYSt4	1	1	1	1	1	1	1	1	1	1
CYSTA	1	1	1	1	1	1	1	1	1	1
CYStec	1	1	1	1	1	1	1	1	1	1
CYSTGL	1	1	1	1	1	1	1	1	1	1
CYSTGLUex	0	0	1	1	0	1	0	0	1	0
CYSTHRNaEx	1	1	1	1	1	1	1	1	1	1
CYSTS	1	1	1	1	1	1	1	1	1	1
CYSTSERex	0	0	0	0	0	0	0	0	0	0
CYTD	0	0	0	0	0	1	0	1	0	0
CYTDK1	1	1	1	1	1	1	1	1	1	1
CYTDK2m	1	1	1	1	1	1	1	1	1	1
CYTDn	0	0	0	0	0	0	0	0	0	0
CYTDt	1	1	1	1	1	1	1	1	1	1
CYTDt4	0	0	0	0	1	0	0	1	0	0
CYTDtm	1	1	1	1	1	1	1	1	1	1
CYTDtn	0	0	0	0	0	0	0	0	0	0
CYTK1	1	1	1	1	1	1	1	1	1	1
CYTK10	1	1	1	1	1	1	1	1	1	1
CYTK10n	1	1	1	1	1	1	1	1	1	1
CYTK11	1	1	1	1	1	1	1	1	1	1
CYTK11n	1	1	1	1	1	1	1	1	1	1
CYTK12	1	1	1	1	1	1	1	1	1	1
CYTK12n	1	1	1	1	1	1	1	1	1	1
CYTK13	1	1	1	1	1	1	1	1	1	1
CYTK13n	1	1	1	1	1	1	1	1	1	1
CYTK14	1	1	1	1	1	1	1	1	1	1
CYTK14n	1	1	1	1	1	1	1	1	1	1
CYTK1m	1	1	1	1	1	1	1	1	1	1
CYTK1n	1	1	1	1	1	1	1	1	1	1
CYTK2	1	1	1	1	1	1	1	1	1	1
CYTK2n	1	1	1	1	1	1	1	1	1	1
CYTK3	0	0	0	0	0	0	0	0	0	0
CYTK3n	1	1	1	1	1	1	1	1	1	1
CYTK4	0	0	0	0	0	0	0	0	0	0
CYTK4n	1	1	1	1	1	1	1	1	1	1
CYTK5	1	1	1	1	1	1	1	1	1	1
CYTK5n	1	1	1	1	1	1	1	1	1	1
CYTK6	1	1	1	1	1	1	1	1	1	1
CYTK6n	1	1	1	1	1	1	1	1	1	1
CYTK7	1	1	1	1	1	1	1	1	1	1
CYTK7n	1	1	1	1	1	1	1	1	1	1
CYTK8	1	1	1	1	1	1	1	1	1	1
CYTK8n	1	1	1	1	1	1	1	1	1	1
CYTK9	1	1	1	1	1	1	1	1	1	1
CYTK9n	1	1	1	1	1	1	1	1	1	1
D_3AIBt	0	1	1	1	0	1	0	1	1	1
D3AIBTm	1	0	0	0	1	0	1	0	0	0
DADA	1	1	1	1	1	1	1	1	1	1
DADAe	0	0	0	0	1	1	1	1	1	0
DADNK	0	0	0	0	0	0	0	0	0	0
DADNt4	0	0	0	0	0	0	0	0	0	0
DAG_HSter	1	1	1	1	1	1	1	1	1	1
DAGK_hs	1	1	1	1	1	1	1	1	1	1
DAGKn_hs	1	1	1	1	1	1	1	1	1	1
DAGt	0	1	1	0	0	0	0	1	1	1
DALAOXx	0	0	0	0	0	0	0	0	0	0
DALAt2r	1	1	1	1	1	1	1	1	1	1
DALAxt	0	0	0	0	0	0	0	0	0	0
DASCBR	1	1	1	1	1	1	1	1	1	1
DASPO1p	1	1	1	1	0	1	1	1	1	0
DATPtn	1	1	1	1	1	1	1	1	1	1
DCK1n	1	1	1	1	1	1	1	1	1	1
DCK2n	1	1	1	1	1	1	1	1	1	1
DCMPDA	1	1	1	1	1	1	1	1	1	1
DCSPTN1COAtx	0	1	0	1	0	1	0	0	1	0
DCSPTN1CPT1	1	1	1	1	1	1	1	1	1	1
DCSPTN1CPT2	1	1	1	1	1	1	1	1	1	1
DCSPTN1CRNt	1	1	1	1	1	1	1	1	1	1
DCSPTN1t	1	1	1	1	1	1	1	1	1	1
DCT	1	1	0	0	0	1	1	0	1	0
DCTPtn	1	1	1	1	1	1	1	1	1	1
DCYTD	0	0	0	0	0	1	0	1	0	0
DCYTDn	1	1	1	1	1	1	1	1	1	1
DCYTt	0	0	0	0	0	0	0	0	0	0
DDPGAm	1	1	1	1	1	1	1	1	1	1
DEBRISOQUINEt	0	0	0	0	0	0	0	0	0	0
DECDPtm	1	1	1	1	1	1	1	1	1	1
DESAT16_2	1	1	1	1	1	1	1	1	1	1
DESAT18_10	1	1	1	1	1	1	1	1	1	1
DESAT18_3	1	1	1	1	1	1	1	1	1	1
DESAT18_4	1	1	1	1	1	1	1	1	1	1
DESAT18_5	1	1	1	1	1	1	1	1	1	1
DESAT18_6	1	1	1	1	1	1	1	1	1	1
DESAT18_7	1	1	1	1	1	1	1	1	1	1
DESAT18_8	1	1	1	1	1	1	1	1	1	1
DESAT18_9	1	1	1	1	1	1	1	1	1	1
DESAT20_1	1	1	1	1	1	1	1	1	1	1
DESAT20_2	1	1	1	1	1	1	1	1	1	1
DESAT22_1p	1	0	1	0	1	0	1	1	0	1
DESAT22_2p	1	1	1	1	1	1	1	1	1	1
DESAT24_1	1	1	1	1	1	1	1	1	1	1
DGAT	1	1	1	1	1	1	1	1	1	1
DGCHOLte	0	0	0	0	0	0	0	0	0	0
DGCHOLtx	1	1	1	1	1	1	1	1	1	1
DGK1	1	1	1	1	1	1	1	1	1	1
DGK2m	1	1	1	1	1	1	1	1	1	1
DGNSKm	1	1	1	1	1	1	1	1	1	1
DGSNt	0	0	0	0	0	0	0	0	0	0
DGSNtm	1	1	1	1	1	1	1	1	1	1
DGTPtn	1	1	1	1	1	1	1	1	1	1
DGULND	1	1	1	1	1	1	1	1	1	1
DHAAt1r	1	1	1	1	1	1	1	1	1	1
DHCHOLESTANATEtm	1	1	1	1	1	1	1	1	1	1
DHCR241r	1	1	1	1	1	1	1	1	1	1
DHCR242r	1	1	1	1	1	1	1	1	1	1
DHCR243r	1	1	1	1	1	1	1	1	1	1
DHCR71r	1	1	1	1	1	1	1	1	1	1
DHCR72r	1	1	1	1	1	1	1	1	1	1
DHCRD1	1	1	1	1	1	1	1	1	1	1
DHCRD2	1	1	1	1	1	1	1	1	1	1
DHDPBMTm	1	1	1	1	1	1	1	1	1	1
DHEASt	1	1	1	1	1	1	1	1	1	1
DHEASULT	0	0	0	0	0	0	0	0	0	0
DHEAtr	1	1	1	1	1	1	1	1	1	1
DHFR	1	1	1	1	1	1	1	1	1	1
DHFtl	1	1	1	1	1	1	1	1	1	1
DHFtm	1	1	1	1	1	1	1	1	1	1
DHORD9	1	1	1	1	1	1	1	1	1	1
DHORTS	1	1	1	1	1	1	1	1	1	1
DHPM1	1	1	1	1	1	1	1	1	1	1
DHPM2	1	1	1	1	1	1	1	1	1	1
DHPR	1	1	1	1	1	1	1	1	1	1
DHPR2	0	0	0	0	0	0	0	0	0	0
DIDPtn	1	1	1	1	1	1	1	1	1	1
DIGALSGALSIDEte	0	0	0	0	0	0	0	0	0	0
DIGALSGALSIDEtg	0	0	0	0	0	0	0	0	0	0
DIGALSIDEtg	1	1	0	1	1	0	1	0	1	1
DIGALSIDEtl	1	1	1	1	1	1	1	1	1	1
DINt	0	0	0	0	1	1	1	1	1	0
DITPtn	1	1	1	1	1	1	1	1	1	1
DKMPPD	1	1	1	1	1	1	1	1	1	1
D_LACt2	1	1	1	1	1	1	1	1	1	1
DLNLCGCPT1	1	1	1	1	1	1	1	1	1	1
DLNLCGCPT2	1	1	1	1	1	1	1	1	1	1
DLNLCGCRNt	1	1	1	1	1	1	1	1	1	1
DLNLCGt	1	1	1	1	1	1	1	1	1	1
DM_13_cis_oretn_n_	0	0	0	0	0	0	0	0	0	0
DM_13_cis_retn_n_	1	1	1	0	0	1	0	1	0	1
DM_Asn_X_Ser_Thr_ly_	0	0	0	0	0	0	0	0	0	0
DM_atp_c_	1	1	1	1	1	1	1	1	1	1
DM_avite1_c_	0	0	0	0	0	0	0	0	0	0
DM_avite2_c_	0	0	0	0	0	0	0	0	0	0
DM_bvite_c_	0	0	0	0	0	0	0	0	0	0
DM_core5_g_	0	0	0	0	0	0	0	0	0	0
DM_core7_g_	0	0	0	0	0	0	0	0	0	0
DM_core8_g_	0	0	0	0	0	0	0	0	0	0
DM_datp_m_	1	0	0	0	0	0	0	0	1	0
DM_datp_n_	0	0	0	0	0	0	0	0	0	0
DM_dctp_m_	1	1	1	1	1	1	1	1	1	1
DM_dctp_n_	0	0	0	0	0	0	0	0	0	0
DM_dem2emgacpail_prot_hs_r_	1	1	1	1	1	1	1	1	1	1
DM_dgpi_prot_hs_r_	1	1	1	1	1	1	1	1	1	1
DM_dgtp_m_	0	0	0	0	1	0	0	1	0	0
DM_dgtp_n_	0	0	0	0	0	0	0	0	0	0
DM_dsT_antigen_g_	1	1	1	1	1	1	1	1	1	1
DM_dttp_m_	1	1	1	1	1	1	1	1	1	1
DM_dttp_n_	0	0	0	0	0	0	0	0	0	0
DM_ethamp_r_	1	1	1	1	1	1	1	1	1	1
DM_gncore2_g_	0	0	0	0	0	0	0	0	0	0
DM_gpi_sig_er_	1	1	1	1	1	1	1	1	1	1
DM_hretn_n_	0	0	0	0	0	0	0	0	0	0
DM_kdn_c_	1	1	1	1	1	1	1	1	1	1
DM_melanin_c_	1	1	0	0	0	1	1	0	1	0
DM_mem2emgacpail_prot_hs_r_	1	1	1	1	1	1	1	1	1	1
DM_n5m2masn_g_	1	1	1	1	1	1	1	1	1	1
DM_oretn_n_	0	0	0	0	0	0	0	0	0	0
DM_Ser_Thr_ly_	1	1	1	1	1	1	1	1	1	1
DM_Ser_Gly_Ala_X_Gly_ly_	1	1	1	1	1	1	1	1	1	1
DM_sprm_c_	1	1	1	1	1	1	1	0	1	1
DM_sTn_antigen_g_	1	1	1	1	1	1	1	1	1	1
DM_T_antigen_g_	1	1	1	1	1	1	1	1	1	1
DM_yvite_c_	0	0	0	0	0	0	0	0	0	0
DMANTIPYRINEte	0	1	0	0	0	0	0	0	0	0
DMATT	1	1	1	1	1	1	1	1	1	1
DMATTx	1	1	1	1	1	1	1	1	1	1
DMGDHm	0	0	0	0	0	0	0	0	0	0
DMGtm	0	0	0	0	0	0	0	0	0	0
DMHPTCRNCPT2	1	1	1	1	1	1	1	1	1	1
DMHPTCRNt	1	1	1	1	1	1	1	1	1	1
DMHPTCRNte	1	1	1	1	1	1	1	1	1	1
DMNONCOACRNCPT1	1	1	1	1	1	1	1	1	1	1
DMNONCRNCPT2	1	1	1	1	1	1	1	1	1	1
DMNONCRNt	1	0	0	1	0	1	1	1	1	1
DNADtn	1	1	1	1	1	1	1	1	1	1
DNDPt10m	1	1	1	1	1	1	1	1	1	1
DNDPt11m	1	1	1	1	1	1	1	1	1	1
DNDPt12m	1	1	1	1	1	1	1	1	1	1
DNDPt13m	1	1	1	1	1	1	1	1	1	1
DNDPt14m	1	1	1	1	1	1	1	1	1	1
DNDPt15m	1	1	1	1	1	1	1	1	1	1
DNDPt16m	1	1	1	1	1	1	1	1	1	1
DNDPt17m	1	1	1	1	1	1	1	1	1	1
DNDPt18m	1	1	1	1	1	1	1	1	1	1
DNDPt19m	1	1	1	1	1	1	1	1	1	1
DNDPt1m	1	1	1	1	1	1	1	1	1	1
DNDPt20m	1	1	1	1	1	1	1	1	1	1
DNDPt21m	1	1	1	1	1	1	1	1	1	1
DNDPt22m	1	1	1	1	1	1	1	1	1	1
DNDPt23m	1	1	1	1	1	1	1	1	1	1
DNDPt24m	1	1	1	1	1	1	1	1	1	1
DNDPt25m	1	1	1	1	1	1	1	1	1	1
DNDPt26m	1	1	1	1	1	1	1	1	1	1
DNDPt27m	1	1	1	1	1	1	1	1	1	1
DNDPt28m	1	1	1	1	1	1	1	1	1	1
DNDPt29m	1	1	1	1	1	1	1	1	1	1
DNDPt2m	1	1	1	1	1	1	1	1	1	1
DNDPt30m	1	1	1	1	1	1	1	1	1	1
DNDPt31m	1	1	1	1	1	1	1	1	1	1
DNDPt32m	1	1	1	1	1	1	1	1	1	1
DNDPt33m	1	1	1	1	1	1	1	1	1	1
DNDPt34m	1	1	1	1	1	1	1	1	1	1
DNDPt35m	1	1	1	1	1	1	1	1	1	1
DNDPt36m	1	1	1	1	1	1	1	1	1	1
DNDPt37m	1	1	1	1	1	1	1	1	1	1
DNDPt38m	1	1	1	1	1	1	1	1	1	1
DNDPt39m	1	1	1	1	1	1	1	1	1	1
DNDPt3m	1	1	1	1	1	1	1	1	1	1
DNDPt40m	1	1	1	1	1	1	1	1	1	1
DNDPt41m	1	1	1	1	1	1	1	1	1	1
DNDPt42m	1	1	1	1	1	1	1	1	1	1
DNDPt43m	1	1	1	1	1	1	1	1	1	1
DNDPt44m	1	1	1	1	1	1	1	1	1	1
DNDPt45m	1	1	1	1	1	1	1	1	1	1
DNDPt46m	1	1	1	1	1	1	1	1	1	1
DNDPt47m	1	1	1	1	1	1	1	1	1	1
DNDPt48m	1	1	1	1	1	1	1	1	1	1
DNDPt49m	1	1	1	1	1	1	1	1	1	1
DNDPt4m	1	1	1	1	1	1	1	1	1	1
DNDPt50m	1	1	1	1	1	1	1	1	1	1
DNDPt51m	1	1	1	1	1	1	1	1	1	1
DNDPt52m	1	1	1	1	1	1	1	1	1	1
DNDPt53m	1	1	1	1	1	1	1	1	1	1
DNDPt54m	1	1	1	1	1	1	1	1	1	1
DNDPt55m	1	1	1	1	1	1	1	1	1	1
DNDPt56m	1	1	1	1	1	1	1	1	1	1
DNDPt57m	1	1	1	1	1	1	1	1	1	1
DNDPt58m	1	1	1	1	1	1	1	1	1	1
DNDPt59m	1	1	1	1	1	1	1	1	1	1
DNDPt5m	1	1	1	1	1	1	1	1	1	1
DNDPt60m	1	1	1	1	1	1	1	1	1	1
DNDPt61m	1	1	1	1	1	1	1	1	1	1
DNDPt62m	1	1	1	1	1	1	1	1	1	1
DNDPt63m	1	1	1	1	1	1	1	1	1	1
DNDPt6m	1	1	1	1	1	1	1	1	1	1
DNDPt7m	1	1	1	1	1	1	1	1	1	1
DNDPt8m	1	1	1	1	1	1	1	1	1	1
DNDPt9m	1	1	1	1	1	1	1	1	1	1
DOLASNT_Ler	1	1	1	1	1	1	1	1	1	1
DOLASNT_Uer	1	1	1	1	1	1	1	1	1	1
DOLDPP_Ler	1	1	1	1	1	1	1	1	1	1
DOLDPP_Uer	1	1	1	1	1	1	1	1	1	1
DOLGLCP_Lter	1	1	1	1	1	1	1	1	1	1
DOLGLCP_Uter	1	1	1	1	1	1	1	1	1	1
DOLGPP_Ler	0	0	0	0	0	0	0	0	0	0
DOLGPP_Uer	0	0	0	0	0	0	0	0	0	0
DOLICHOL_Lter	1	0	0	1	1	1	0	0	1	1
DOLICHOL_Uter	1	0	0	1	1	1	0	0	1	1
DOLK_L	1	0	0	1	1	1	0	0	1	1
DOLK_U	1	0	0	1	1	1	0	0	1	1
DOLMANP_Lter	1	1	1	1	1	1	1	1	1	1
DOLMANP_Uter	1	1	1	1	1	1	1	1	1	1
DOLP_Lter	1	1	1	1	1	1	1	1	1	1
DOLP_Uter	1	1	1	1	1	1	1	1	1	1
DOLPGT1_Ler	1	1	1	1	1	1	1	1	1	1
DOLPGT1_Uer	1	1	1	1	1	1	1	1	1	1
DOLPGT2_Ler	1	1	1	1	1	1	1	1	1	1
DOLPGT2_Uer	1	1	1	1	1	1	1	1	1	1
DOLPGT3_Ler	1	0	0	1	1	1	0	0	1	1
DOLPGT3_Uer	1	0	0	1	1	1	0	0	1	1
DOLPH_Ler	1	1	1	1	1	1	1	1	1	1
DOLPH_Uer	1	1	1	1	1	1	1	1	1	1
DOLPMT_L	1	1	1	1	1	1	1	1	1	1
DOLPMT_U	1	1	1	1	1	1	1	1	1	1
DOLPMT1_Ler	1	1	1	1	1	1	1	1	1	1
DOLPMT1_Uer	1	1	1	1	1	1	1	1	1	1
DOLPMT2_Ler	1	1	1	1	1	1	1	1	1	1
DOLPMT2_Uer	1	1	1	1	1	1	1	1	1	1
DOLPMT3_Ler	1	1	1	1	1	1	1	1	1	1
DOLPMT3_Uer	1	1	1	1	1	1	1	1	1	1
DOLPMT4_Ler	1	1	1	1	1	1	1	1	1	1
DOLPMT4_Uer	1	1	1	1	1	1	1	1	1	1
DOPABMO	1	1	1	1	1	1	1	1	1	1
DOPACHRMISO	1	1	0	0	0	1	1	0	1	0
DOPAQNISO1	1	1	0	0	0	1	1	0	1	0
DOPASFt	1	1	1	1	1	1	1	1	1	1
DOPASULT	1	1	1	1	1	1	1	1	1	1
DOPAt4_2_r	0	0	0	0	0	0	0	0	0	0
DOPAtu	1	1	1	1	1	1	1	1	1	1
DOPAVESSEC	1	1	0	1	0	0	0	0	1	1
DPCOAK	1	1	1	1	1	1	1	1	1	1
DPCOAtl	1	1	1	1	1	1	1	1	1	1
DPGase	1	1	1	1	1	1	1	1	1	1
DPGM	1	1	1	1	1	1	1	1	1	1
DPHMBDCm	1	1	1	1	1	1	1	1	1	1
DPMVDx	1	1	1	1	1	1	1	1	1	1
DPPS	1	1	1	1	1	1	1	1	1	1
DRBK	1	0	1	0	1	1	1	1	0	1
DRIBt	1	0	1	0	1	1	1	1	0	0
DRPA	0	1	0	1	0	0	0	0	1	0
DSAT	1	1	1	1	1	1	1	1	1	1
DTDPtn	0	0	1	0	1	0	0	0	0	1
DTMPK	1	1	1	1	1	1	1	1	1	1
DTTPtn	1	1	1	1	1	1	1	1	1	1
DUDPtn	1	1	1	1	1	1	1	1	1	1
DUMPtn	1	1	1	1	1	1	1	1	1	1
DURAD	1	1	1	1	1	1	1	1	1	1
DURAD2	1	1	1	1	1	1	1	1	1	1
DURIK1	1	1	1	1	1	1	1	1	1	1
DURIK1m	1	1	1	1	1	1	1	1	1	1
DURIPP	1	1	1	1	1	1	1	1	1	1
DURIt	0	0	0	0	0	0	0	0	0	0
